Set,OC1-AP,OC1,CART-LC,OC1-SA,OC1-GA,OC1-ES,HBDT,GALE,GaTree,EFTI
bcw,10.34±1.33,3.68±0.61,4.86±1.00,8.02±1.20,9.60±1.27,10.34±1.33,4.04±0.57,6.80±1.25,4.80±0.13,2.02±0.04
pid,13.76±2.68,6.54±1.71,9.40±2.84,9.90±1.88,18.98±5.32,17.12±3.73,17.82±1.05,5.74±0.99,4.36±0.21,2.35±0.13
gls,14.12±2.33,13.12±2.08,13.30±2.00,14.94±2.55,32.50±4.44,14.48±2.45,12.74±0.74,2.12±0.12,7.20±0.42,7.31±0.26
irs,4.82±0.35,3.54±0.29,4.46±0.27,4.64±0.38,6.04±0.57,4.82±0.32,3.48±0.25,3.06±0.12,4.62±0.23,3.00±0.00
veh,48.88±8.02,33.54±5.82,35.60±6.43,44.78±7.59,81.06±7.13,44.24±8.08,16.98±0.60,5.68±1.02,7.22±0.47,5.44±0.21
vow,96.38±2.02,51.68±2.63,75.30±3.23,94.80±1.35,5.08±1.56,92.66±2.93,37.84±1.08,11.66±1.60,7.74±0.46,17.86±0.64
hrts,10.94±2.23,4.70±1.06,5.40±1.27,9.16±1.81,19.00±2.82,10.08±2.30,4.26±0.52,2.42±0.25,6.38±0.21,2.12±0.09
ausc,8.72±2.52,6.10±1.88,6.04±1.23,8.32±2.68,30.00±4.82,8.00±1.89,10.26±0.88,7.94±1.15,3.60±0.19,2.28±0.13
hep,3.58±0.41,3.06±0.24,3.50±0.33,4.04±0.46,4.06±0.45,3.68±0.37,2.14±0.28,3.12±0.37,5.96±0.31,2.09±0.08
lym,11.22±1.52,4.46±0.86,6.80±1.14,9.42±1.47,8.54±1.49,9.46±1.52,3.64±0.42,4.28±0.68,6.98±0.36,3.24±0.16
bc,6.46±2.17,3.08±0.46,4.70±1.07,6.70±1.95,7.70±2.31,8.84±2.69,9.98±0.81,5.12±0.83,5.32±0.22,2.40±0.13
zoo,6.82±0.11,6.64±0.27,6.76±0.15,7.10±0.24,6.50±0.24,6.82±0.11,5.92±0.24,6.36±0.33,6.92±0.50,7.11±0.10
vote,3.36±0.68,2.40±0.15,2.46±0.22,2.68±0.37,4.52±0.64,2.96±0.57,3.28±0.33,4.06±0.45,2.00±0.00,2.00±0.00
ion,5.00±1.16,6.18±0.81,8.78±2.20,7.02±1.19,6.00±0.87,7.58±1.47,6.14±0.41,7.30±0.87,5.76±0.32,2.49±0.14
son,7.18±1.43,6.76±1.14,6.50±1.10,7.80±1.11,6.78±1.13,7.18±1.43,4.26±0.35,7.48±1.33,11.54±0.39,2.38±0.14
cmc,36.38±9.76,21.32±7.13,17.56±5.42,30.2±10.85,28.36±6.80,20.72±4.29,73.66±2.40,3.94±0.86,4.96±0.28,3.51±0.16
ger,20.42±4.67,4.96±0.95,7.48±1.56,14.66±4.50,17.86±4.53,16.68±4.65,14.98±0.98,5.32±0.92,5.32±0.21,2.24±0.12
liv,15.90±3.23,5.38±1.66,11.66±2.54,12.30±2.87,10.90±3.71,14.22±3.78,12.88±1.04,5.04±0.79,5.98±0.29,2.33±0.14
page,25.94±4.24,23.78±3.75,22.06±2.64,32.56±4.31,40.80±6.48,30.06±4.22,26.02±1.39,4.12±0.62,3.02±0.09,2.04±0.05
thy,5.78±0.65,5.40±1.03,5.06±0.48,4.90±0.47,5.26±0.52,5.06±0.49,3.14±0.13,2.86±0.17,5.14±0.20,2.04±0.05
w40,63.72±10.36,15.00±2.78,57.06±13.50,60.84±9.41,44.64±7.33,54.92±7.06,36.44±1.45,15.22±2.13,5.46±0.24,3.02±0.04
