:raw:`Dataset & \multicolumn{5}{c||}{SW-ARM} & \multicolumn{5}{c}{PC-ARM} \\`,2,4,8,16,25,2,4,8,16,25
adult,61.69,109.68,150.81,187.23,120.10,4.46,8.44,9.71,12.14,7.88
bank,67.15,125.46,190.52,245.92,184.56,4.64,8.69,15.92,15.82,11.83
bch,93.93,136.20,110.33,44.14,27.16,6.76,9.52,7.94,3.55,2.18
cvf,77.86,121.37,158.59,84.26,46.44,5.61,7.85,10.07,5.58,3.16
eb,75.63,132.07,176.18,158.60,107.81,8.43,15.17,15.06,13.76,9.26
eye,55.07,78.48,122.47,86.44,44.43,4.23,4.81,7.53,5.67,3.03
jvow,87.11,126.19,120.70,60.33,36.10,8.20,9.94,9.62,5.11,3.30
kpt,75.26,114.00,140.10,102.91,66.80,7.67,13.58,12.26,9.36,5.83
ltr,119.60,170.79,180.59,114.62,75.85,10.46,16.27,15.19,9.52,5.97
magic,48.57,66.75,109.42,91.17,50.15,4.60,5.06,8.03,7.01,3.98
msh,44.76,77.01,93.82,41.10,22.41,3.10,4.86,6.06,2.76,1.73
nrs,60.82,100.18,130.52,72.56,41.18,6.23,8.30,10.64,5.85,3.45
page,48.58,71.26,60.51,27.30,16.04,3.40,5.11,4.67,2.05,1.26
pen,106.26,135.85,126.58,68.54,41.16,9.65,11.26,10.48,5.82,3.65
sht,71.55,139.37,234.69,299.93,233.03,6.46,11.62,21.69,21.79,16.75
w21,63.42,100.82,87.38,36.03,22.08,5.18,8.03,6.63,2.96,1.77
wfr,67.22,106.32,94.24,40.43,24.28,4.90,7.55,6.47,3.09,1.87
wine,58.97,82.72,61.66,27.27,17.12,4.54,6.31,5.03,2.38,1.50
:raw:`\hline` Average:,71.30,110.81,130.51,99.38,65.37,6.03,9.02,10.17,7.46,4.91
